ChargePeriodStart,ChargePeriodEnd,ChargeFrequency,ChargeDescription,ChargeCategory,BillingPeriodStart,BillingPeriodEnd,Provider,Publisher,InvoiceIssuer,BillingAccountId,BilledCost,BillingCurrency,EffectiveCost,RegionId,ServiceCategory,ServiceName,SubAccountId,AvailabilityZone,ResourceName,ResourceId,ResourceType,CommitmentDiscountId,CommitmentDiscountType,CommitmentDiscountCategory,PricingQuantity,PricingUnit,PricingCategory,SkuId,SkuPriceId,ListUnitPrice,ListCost,ConsumedQuantity,ConsumedUnit
2023-11-01T00:00:00.000+0000,2023-12-01T00:00:00.000+0000,Recurring,Tax for product code AWSCloudTrail,Tax,2023-11-01T00:00:00.000+0000,2023-12-01T00:00:00.000+0000,AWS,"Amazon Web Services Canada, Inc.","Amazon Web Services Canada, Inc.",123412340534,0.0,USD,0.0,,Management and Governance,AWSCloudTrail,123412340534,,,,,,,,1.0,,,,,,0.0,1.0,
2023-11-01T00:00:00.000+0000,2023-12-01T00:00:00.000+0000,Recurring,Tax for product code AWSDataTransfer,Tax,2023-11-01T00:00:00.000+0000,2023-12-01T00:00:00.000+0000,AWS,"Amazon Web Services Canada, Inc.","Amazon Web Services Canada, Inc.",123412340534,0.0,USD,0.0,,Networking,AWSDataTransfer,123412340534,,,,,,,,1.0,,,,,,0.0,1.0,
2023-11-01T00:00:00.000+0000,2023-12-01T00:00:00.000+0000,Recurring,Tax for product code AWSGlue,Tax,2023-11-01T00:00:00.000+0000,2023-12-01T00:00:00.000+0000,AWS,"Amazon Web Services Canada, Inc.","Amazon Web Services Canada, Inc.",123412340534,0.0,USD,0.0,,Analytics,AWSGlue,123412340534,,,,,,,,1.0,,,,,,0.0,1.0,
2023-11-01T00:00:00.000+0000,2023-12-01T00:00:00.000+0000,Recurring,Tax for product code AWSIoT,Tax,2023-11-01T00:00:00.000+0000,2023-12-01T00:00:00.000+0000,AWS,"Amazon Web Services Canada, Inc.","Amazon Web Services Canada, Inc.",123412340534,0.0,USD,0.0,,Internet of Things,AWSIoT,123412340534,,,,,,,,1.0,,,,,,0.0,1.0,
2023-11-01T00:00:00.000+0000,2023-12-01T00:00:00.000+0000,Recurring,Tax for product code awskms,Tax,2023-11-01T00:00:00.000+0000,2023-12-01T00:00:00.000+0000,AWS,"Amazon Web Services Canada, Inc.","Amazon Web Services Canada, Inc.",123412340534,0.01,USD,0.01,,Security,awskms,123412340534,,,,,,,,1.0,,,,,,0.0,1.0,
2023-11-01T00:00:00.000+0000,2023-12-01T00:00:00.000+0000,Recurring,Tax for product code AWSMigrationHubRefactorSpaces,Tax,2023-11-01T00:00:00.000+0000,2023-12-01T00:00:00.000+0000,AWS,"Amazon Web Services Canada, Inc.","Amazon Web Services Canada, Inc.",123412340534,0.0,USD,0.0,,,AWSMigrationHubRefactorSpaces,123412340534,,,,,,,,1.0,,,,,,0.0,1.0,
2023-11-01T00:00:00.000+0000,2023-12-01T00:00:00.000+0000,Recurring,Tax for product code AWSSecretsManager,Tax,2023-11-01T00:00:00.000+0000,2023-12-01T00:00:00.000+0000,AWS,"Amazon Web Services Canada, Inc.","Amazon Web Services Canada, Inc.",123412340534,0.0,USD,0.0,,Security,AWSSecretsManager,123412340534,,,,,,,,1.0,,,,,,0.0,1.0,
2023-11-01T00:00:00.000+0000,2023-12-01T00:00:00.000+0000,Recurring,Tax for product code AmazonEFS,Tax,2023-11-01T00:00:00.000+0000,2023-12-01T00:00:00.000+0000,AWS,"Amazon Web Services Canada, Inc.","Amazon Web Services Canada, Inc.",123412340534,0.0,USD,0.0,,Storage,AmazonEFS,123412340534,,,,,,,,1.0,,,,,,0.0,1.0,
2023-11-01T00:00:00.000+0000,2023-12-01T00:00:00.000+0000,Recurring,Tax for product code AmazonSNS,Tax,2023-11-01T00:00:00.000+0000,2023-12-01T00:00:00.000+0000,AWS,"Amazon Web Services Canada, Inc.","Amazon Web Services Canada, Inc.",123412340534,0.0,USD,0.0,,Integration,AmazonSNS,123412340534,,,,,,,,1.0,,,,,,0.0,1.0,
2023-11-01T00:00:00.000+0000,2023-12-01T00:00:00.000+0000,Recurring,Tax for product code AWSQueueService,Tax,2023-11-01T00:00:00.000+0000,2023-12-01T00:00:00.000+0000,AWS,"Amazon Web Services Canada, Inc.","Amazon Web Services Canada, Inc.",123412340534,0.0,USD,0.0,,Integration,AWSQueueService,123412340534,,,,,,,,1.0,,,,,,0.0,1.0,
2023-11-01T00:00:00.000+0000,2023-12-01T00:00:00.000+0000,Recurring,Tax for product code AmazonS3,Tax,2023-11-01T00:00:00.000+0000,2023-12-01T00:00:00.000+0000,AWS,"Amazon Web Services Canada, Inc.","Amazon Web Services Canada, Inc.",123412340534,0.07,USD,0.07,,Storage,AmazonS3,123412340534,,,,,,,,1.0,,,,,,0.0,1.0,
2023-11-01T00:00:00.000+0000,2023-12-01T00:00:00.000+0000,Recurring,Tax for product code AmazonCloudWatch,Tax,2023-11-01T00:00:00.000+0000,2023-12-01T00:00:00.000+0000,AWS,"Amazon Web Services Canada, Inc.","Amazon Web Services Canada, Inc.",123412340534,0.0,USD,0.0,,Management and Governance,AmazonCloudWatch,123412340534,,,,,,,,1.0,,,,,,0.0,1.0,
2023-11-05T04:00:00.000+0000,2023-11-05T05:00:00.000+0000,Recurring,$0.00 per GB - regional data transfer - in/out/between EC2 Azs or using elastic IPs or ELB,Usage,2023-11-01T00:00:00.000+0000,2023-12-01T00:00:00.000+0000,AWS,"Amazon Web Services Canada, Inc.","Amazon Web Services Canada, Inc.",123412340534,0.0,USD,0.0,us-east-1,,AWSCloudShell,123412340534,,,,,,,,0.0010569617,GB,,22AJRxxxxxxKRGKF,22AJRQH2RDJKRxxx.xxxxxxxxxx.xxx6EN2CT7,0.0,0.0,0.0010569617,GB
2023-11-07T05:00:00.000+0000,2023-11-07T07:00:00.000+0000,Recurring,USD0.0 per GB for  in Middle East (UAE),Usage,2023-11-01T00:00:00.000+0000,2023-12-01T00:00:00.000+0000,AWS,"Amazon Web Services Canada, Inc.","Amazon Web Services Canada, Inc.",123412340534,0.0,USD,0.0,ca-central-1,Storage,AmazonS3,123412340534,,,,,,,,9.984e-7,GB,,26QPHxxxxxxK62PR,26QPHR5QDPRK6xxx.xxxxxxxxxx.xxx6EN2CT7,0.0,0.0,9.984e-7,GB
2023-11-04T23:00:00.000+0000,2023-11-05T00:00:00.000+0000,Recurring,$0.02 per GB - US East (Northern Virginia) data transfer to EU (Germany),Usage,2023-11-01T00:00:00.000+0000,2023-12-01T00:00:00.000+0000,AWS,"Amazon Web Services Canada, Inc.","Amazon Web Services Canada, Inc.",123412340534,1.81e-8,USD,1.81e-8,us-east-1,Storage,AmazonS3,123412340534,,,,,,,,9.052e-7,GB,,2BG23xxxxxxBKVFW,2BG23N2FNX3BKxxx.xxxxxxxxxx.xxx6EN2CT7,0.02,1.8104e-8,9.052e-7,GB
2023-11-04T23:00:00.000+0000,2023-11-05T00:00:00.000+0000,Recurring,$0.02 per GB - US East (Northern Virginia) data transfer to EU (Germany),Usage,2023-11-01T00:00:00.000+0000,2023-12-01T00:00:00.000+0000,AWS,"Amazon Web Services Canada, Inc.","Amazon Web Services Canada, Inc.",123412340534,1.3e-9,USD,1.3e-9,us-east-1,Storage,AmazonS3,123412340534,,,,,,,,6.71e-8,GB,,2BG23xxxxxxBKVFW,2BG23N2FNX3BKxxx.xxxxxxxxxx.xxx6EN2CT7,0.02,1.342e-9,6.71e-8,GB
2023-11-04T23:00:00.000+0000,2023-11-05T00:00:00.000+0000,Recurring,$0.02 per GB - US East (Northern Virginia) data transfer to EU (Germany),Usage,2023-11-01T00:00:00.000+0000,2023-12-01T00:00:00.000+0000,AWS,"Amazon Web Services Canada, Inc.","Amazon Web Services Canada, Inc.",123412340534,8.4e-9,USD,8.4e-9,us-east-1,Storage,AmazonS3,123412340534,,,,,,,,4.21e-7,GB,,2BG23xxxxxxBKVFW,2BG23N2FNX3BKxxx.xxxxxxxxxx.xxx6EN2CT7,0.02,8.42e-9,4.21e-7,GB
2023-11-04T23:00:00.000+0000,2023-11-05T00:00:00.000+0000,Recurring,$0.02 per GB - US East (Northern Virginia) data transfer to EU (Germany),Usage,2023-11-01T00:00:00.000+0000,2023-12-01T00:00:00.000+0000,AWS,"Amazon Web Services Canada, Inc.","Amazon Web Services Canada, Inc.",123412340534,1.8e-9,USD,1.8e-9,us-east-1,Storage,AmazonS3,123412340534,,,,,,,,8.85e-8,GB,,2BG23xxxxxxBKVFW,2BG23N2FNX3BKxxx.xxxxxxxxxx.xxx6EN2CT7,0.02,1.77e-9,8.85e-8,GB
2023-11-05T19:00:00.000+0000,2023-11-05T20:00:00.000+0000,Recurring,$0.02 per GB - US East (Northern Virginia) data transfer to EU (Germany),Usage,2023-11-01T00:00:00.000+0000,2023-12-01T00:00:00.000+0000,AWS,"Amazon Web Services Canada, Inc.","Amazon Web Services Canada, Inc.",123412340534,1.8e-9,USD,1.8e-9,us-east-1,Storage,AmazonS3,123412340534,,,,,,,,8.85e-8,GB,,2BG23xxxxxxBKVFW,2BG23N2FNX3BKxxx.xxxxxxxxxx.xxx6EN2CT7,0.02,1.77e-9,8.85e-8,GB
2023-11-08T09:00:00.000+0000,2023-11-08T10:00:00.000+0000,Recurring,$0.02 per GB - US East (Northern Virginia) data transfer to EU (Germany),Usage,2023-11-01T00:00:00.000+0000,2023-12-01T00:00:00.000+0000,AWS,"Amazon Web Services Canada, Inc.","Amazon Web Services Canada, Inc.",123412340534,1.3e-9,USD,1.3e-9,us-east-1,Storage,AmazonS3,123412340534,,,,,,,,6.71e-8,GB,,2BG23xxxxxxBKVFW,2BG23N2FNX3BKxxx.xxxxxxxxxx.xxx6EN2CT7,0.02,1.342e-9,6.71e-8,GB
2023-11-10T19:00:00.000+0000,2023-11-10T20:00:00.000+0000,Recurring,$0.02 per GB - US East (Northern Virginia) data transfer to EU (Germany),Usage,2023-11-01T00:00:00.000+0000,2023-12-01T00:00:00.000+0000,AWS,"Amazon Web Services Canada, Inc.","Amazon Web Services Canada, Inc.",123412340534,1.8e-9,USD,1.8e-9,us-east-1,Storage,AmazonS3,123412340534,,,,,,,,8.85e-8,GB,,2BG23xxxxxxBKVFW,2BG23N2FNX3BKxxx.xxxxxxxxxx.xxx6EN2CT7,0.02,1.77e-9,8.85e-8,GB
2023-11-11T03:00:00.000+0000,2023-11-11T04:00:00.000+0000,Recurring,$0.02 per GB - US East (Northern Virginia) data transfer to EU (Germany),Usage,2023-11-01T00:00:00.000+0000,2023-12-01T00:00:00.000+0000,AWS,"Amazon Web Services Canada, Inc.","Amazon Web Services Canada, Inc.",123412340534,4.65e-8,USD,4.65e-8,us-east-1,Storage,AmazonS3,123412340534,,,,,,,,2.3265e-6,GB,,2BG23xxxxxxBKVFW,2BG23N2FNX3BKxxx.xxxxxxxxxx.xxx6EN2CT7,0.02,4.653e-8,2.3265e-6,GB
2023-11-11T03:00:00.000+0000,2023-11-11T04:00:00.000+0000,Recurring,$0.02 per GB - US East (Northern Virginia) data transfer to EU (Germany),Usage,2023-11-01T00:00:00.000+0000,2023-12-01T00:00:00.000+0000,AWS,"Amazon Web Services Canada, Inc.","Amazon Web Services Canada, Inc.",123412340534,1.46e-8,USD,1.46e-8,us-east-1,Storage,AmazonS3,123412340534,,,,,,,,7.32e-7,GB,,2BG23xxxxxxBKVFW,2BG23N2FNX3BKxxx.xxxxxxxxxx.xxx6EN2CT7,0.02,1.464e-8,7.32e-7,GB
2023-11-13T09:00:00.000+0000,2023-11-13T10:00:00.000+0000,Recurring,$0.02 per GB - US East (Northern Virginia) data transfer to EU (Germany),Usage,2023-11-01T00:00:00.000+0000,2023-12-01T00:00:00.000+0000,AWS,"Amazon Web Services Canada, Inc.","Amazon Web Services Canada, Inc.",123412340534,1.3e-9,USD,1.3e-9,us-east-1,Storage,AmazonS3,123412340534,,,,,,,,6.71e-8,GB,,2BG23xxxxxxBKVFW,2BG23N2FNX3BKxxx.xxxxxxxxxx.xxx6EN2CT7,0.02,1.342e-9,6.71e-8,GB
2023-11-04T23:00:00.000+0000,2023-11-05T00:00:00.000+0000,Recurring,$0 for AWS Glue Data Catalog requests under the free tier,Usage,2023-11-01T00:00:00.000+0000,2023-12-01T00:00:00.000+0000,AWS,"Amazon Web Services Canada, Inc.","Amazon Web Services Canada, Inc.",123412340534,0.0,USD,0.0,ap-northeast-3,Analytics,AWSGlue,123412340534,,,,,,,,3.0,Request,,2JE3WxxxxxxQY8TK,2JE3WCEUSPXQYxxx.xxxxxxxxxx.xxx6EN2CT7,1e-6,3e-6,3.0,Request
2023-11-06T03:00:00.000+0000,2023-11-06T04:00:00.000+0000,Recurring,$0 for AWS Glue Data Catalog requests under the free tier,Usage,2023-11-01T00:00:00.000+0000,2023-12-01T00:00:00.000+0000,AWS,"Amazon Web Services Canada, Inc.","Amazon Web Services Canada, Inc.",123412340534,0.0,USD,0.0,ap-northeast-3,Analytics,AWSGlue,123412340534,,,,,,,,1.0,Request,,2JE3WxxxxxxQY8TK,2JE3WCEUSPXQYxxx.xxxxxxxxxx.xxx6EN2CT7,1e-6,1e-6,1.0,Request
2023-11-09T09:00:00.000+0000,2023-11-09T10:00:00.000+0000,Recurring,$0 for AWS Glue Data Catalog requests under the free tier,Usage,2023-11-01T00:00:00.000+0000,2023-12-01T00:00:00.000+0000,AWS,"Amazon Web Services Canada, Inc.","Amazon Web Services Canada, Inc.",123412340534,0.0,USD,0.0,ap-northeast-3,Analytics,AWSGlue,123412340534,,,,,,,,1.0,Request,,2JE3WxxxxxxQY8TK,2JE3WCEUSPXQYxxx.xxxxxxxxxx.xxx6EN2CT7,1e-6,1e-6,1.0,Request
2023-11-11T03:00:00.000+0000,2023-11-11T04:00:00.000+0000,Recurring,$0 for AWS Glue Data Catalog requests under the free tier,Usage,2023-11-01T00:00:00.000+0000,2023-12-01T00:00:00.000+0000,AWS,"Amazon Web Services Canada, Inc.","Amazon Web Services Canada, Inc.",123412340534,0.0,USD,0.0,ap-northeast-3,Analytics,AWSGlue,123412340534,,,,,,,,1.0,Request,,2JE3WxxxxxxQY8TK,2JE3WCEUSPXQYxxx.xxxxxxxxxx.xxx6EN2CT7,1e-6,1e-6,1.0,Request
2023-11-05T03:00:00.000+0000,2023-11-06T00:00:00.000+0000,Recurring,$0.00 per GB - Canada (Central) data transfer from US East (Northern Virginia),Usage,2023-11-01T00:00:00.000+0000,2023-12-01T00:00:00.000+0000,AWS,"Amazon Web Services Canada, Inc.","Amazon Web Services Canada, Inc.",123412340534,0.0,USD,0.0,ca-central-1,Storage,AmazonS3,123412340534,,,,,,,,0.0000647111,GB,,2JE46xxxxxxNSTTW,2JE46CBZYW8NSxxx.xxxxxxxxxx.xxx6EN2CT7,0.0,0.0,0.0000647111,GB
2023-11-05T00:00:00.000+0000,2023-11-06T00:00:00.000+0000,Recurring,$0.00 per GB - Canada (Central) data transfer from US East (Northern Virginia),Usage,2023-11-01T00:00:00.000+0000,2023-12-01T00:00:00.000+0000,AWS,"Amazon Web Services Canada, Inc.","Amazon Web Services Canada, Inc.",123412340534,0.0,USD,0.0,ca-central-1,Storage,AmazonS3,123412340534,,,,,,,,0.0000193044,GB,,2JE46xxxxxxNSTTW,2JE46CBZYW8NSxxx.xxxxxxxxxx.xxx6EN2CT7,0.0,0.0,0.0000193044,GB
2023-11-05T00:00:00.000+0000,2023-11-05T01:00:00.000+0000,Recurring,$0.00 per GB - Canada (Central) data transfer from US East (Northern Virginia),Usage,2023-11-01T00:00:00.000+0000,2023-12-01T00:00:00.000+0000,AWS,"Amazon Web Services Canada, Inc.","Amazon Web Services Canada, Inc.",123412340534,0.0,USD,0.0,ca-central-1,Storage,AmazonS3,123412340534,,,,,,,,1.3019e-6,GB,,2JE46xxxxxxNSTTW,2JE46CBZYW8NSxxx.xxxxxxxxxx.xxx6EN2CT7,0.0,0.0,1.3019e-6,GB
2023-11-05T00:00:00.000+0000,2023-11-05T01:00:00.000+0000,Recurring,$0.00 per GB - Canada (Central) data transfer from US East (Northern Virginia),Usage,2023-11-01T00:00:00.000+0000,2023-12-01T00:00:00.000+0000,AWS,"Amazon Web Services Canada, Inc.","Amazon Web Services Canada, Inc.",123412340534,0.0,USD,0.0,ca-central-1,Storage,AmazonS3,123412340534,,,,,,,,5.346e-7,GB,,2JE46xxxxxxNSTTW,2JE46CBZYW8NSxxx.xxxxxxxxxx.xxx6EN2CT7,0.0,0.0,5.346e-7,GB
2023-11-06T09:00:00.000+0000,2023-11-06T21:00:00.000+0000,Recurring,$0.00 per GB - Canada (Central) data transfer from US East (Northern Virginia),Usage,2023-11-01T00:00:00.000+0000,2023-12-01T00:00:00.000+0000,AWS,"Amazon Web Services Canada, Inc.","Amazon Web Services Canada, Inc.",123412340534,0.0,USD,0.0,ca-central-1,Storage,AmazonS3,123412340534,,,,,,,,0.0000599492,GB,,2JE46xxxxxxNSTTW,2JE46CBZYW8NSxxx.xxxxxxxxxx.xxx6EN2CT7,0.0,0.0,0.0000599492,GB
2023-11-06T09:00:00.000+0000,2023-11-06T21:00:00.000+0000,Recurring,$0.00 per GB - Canada (Central) data transfer from US East (Northern Virginia),Usage,2023-11-01T00:00:00.000+0000,2023-12-01T00:00:00.000+0000,AWS,"Amazon Web Services Canada, Inc.","Amazon Web Services Canada, Inc.",123412340534,0.0,USD,0.0,ca-central-1,Storage,AmazonS3,123412340534,,,,,,,,0.0000129304,GB,,2JE46xxxxxxNSTTW,2JE46CBZYW8NSxxx.xxxxxxxxxx.xxx6EN2CT7,0.0,0.0,0.0000129304,GB
2023-11-07T07:00:00.000+0000,2023-11-07T17:00:00.000+0000,Recurring,$0.00 per GB - Canada (Central) data transfer from US East (Northern Virginia),Usage,2023-11-01T00:00:00.000+0000,2023-12-01T00:00:00.000+0000,AWS,"Amazon Web Services Canada, Inc.","Amazon Web Services Canada, Inc.",123412340534,0.0,USD,0.0,ca-central-1,Storage,AmazonS3,123412340534,,,,,,,,0.0000650892,GB,,2JE46xxxxxxNSTTW,2JE46CBZYW8NSxxx.xxxxxxxxxx.xxx6EN2CT7,0.0,0.0,0.0000650892,GB
2023-11-07T03:00:00.000+0000,2023-11-07T17:00:00.000+0000,Recurring,$0.00 per GB - Canada (Central) data transfer from US East (Northern Virginia),Usage,2023-11-01T00:00:00.000+0000,2023-12-01T00:00:00.000+0000,AWS,"Amazon Web Services Canada, Inc.","Amazon Web Services Canada, Inc.",123412340534,0.0,USD,0.0,ca-central-1,Storage,AmazonS3,123412340534,,,,,,,,0.0000261068,GB,,2JE46xxxxxxNSTTW,2JE46CBZYW8NSxxx.xxxxxxxxxx.xxx6EN2CT7,0.0,0.0,0.0000261068,GB
2023-11-08T01:00:00.000+0000,2023-11-08T20:00:00.000+0000,Recurring,$0.00 per GB - Canada (Central) data transfer from US East (Northern Virginia),Usage,2023-11-01T00:00:00.000+0000,2023-12-01T00:00:00.000+0000,AWS,"Amazon Web Services Canada, Inc.","Amazon Web Services Canada, Inc.",123412340534,0.0,USD,0.0,ca-central-1,Storage,AmazonS3,123412340534,,,,,,,,0.0001302547,GB,,2JE46xxxxxxNSTTW,2JE46CBZYW8NSxxx.xxxxxxxxxx.xxx6EN2CT7,0.0,0.0,0.0001302547,GB
2023-11-08T01:00:00.000+0000,2023-11-08T20:00:00.000+0000,Recurring,$0.00 per GB - Canada (Central) data transfer from US East (Northern Virginia),Usage,2023-11-01T00:00:00.000+0000,2023-12-01T00:00:00.000+0000,AWS,"Amazon Web Services Canada, Inc.","Amazon Web Services Canada, Inc.",123412340534,0.0,USD,0.0,ca-central-1,Storage,AmazonS3,123412340534,,,,,,,,0.0000192366,GB,,2JE46xxxxxxNSTTW,2JE46CBZYW8NSxxx.xxxxxxxxxx.xxx6EN2CT7,0.0,0.0,0.0000192366,GB
2023-11-09T10:00:00.000+0000,2023-11-09T11:00:00.000+0000,Recurring,$0.00 per GB - Canada (Central) data transfer from US East (Northern Virginia),Usage,2023-11-01T00:00:00.000+0000,2023-12-01T00:00:00.000+0000,AWS,"Amazon Web Services Canada, Inc.","Amazon Web Services Canada, Inc.",123412340534,0.0,USD,0.0,ca-central-1,Storage,AmazonS3,123412340534,,,,,,,,0.0000452446,GB,,2JE46xxxxxxNSTTW,2JE46CBZYW8NSxxx.xxxxxxxxxx.xxx6EN2CT7,0.0,0.0,0.0000452446,GB
2023-11-09T10:00:00.000+0000,2023-11-09T11:00:00.000+0000,Recurring,$0.00 per GB - Canada (Central) data transfer from US East (Northern Virginia),Usage,2023-11-01T00:00:00.000+0000,2023-12-01T00:00:00.000+0000,AWS,"Amazon Web Services Canada, Inc.","Amazon Web Services Canada, Inc.",123412340534,0.0,USD,0.0,ca-central-1,Storage,AmazonS3,123412340534,,,,,,,,6.4122e-6,GB,,2JE46xxxxxxNSTTW,2JE46CBZYW8NSxxx.xxxxxxxxxx.xxx6EN2CT7,0.0,0.0,6.4122e-6,GB
2023-11-10T02:00:00.000+0000,2023-11-10T19:00:00.000+0000,Recurring,$0.00 per GB - Canada (Central) data transfer from US East (Northern Virginia),Usage,2023-11-01T00:00:00.000+0000,2023-12-01T00:00:00.000+0000,AWS,"Amazon Web Services Canada, Inc.","Amazon Web Services Canada, Inc.",123412340534,0.0,USD,0.0,ca-central-1,Storage,AmazonS3,123412340534,,,,,,,,0.0001415983,GB,,2JE46xxxxxxNSTTW,2JE46CBZYW8NSxxx.xxxxxxxxxx.xxx6EN2CT7,0.0,0.0,0.0001415983,GB
2023-11-10T02:00:00.000+0000,2023-11-10T19:00:00.000+0000,Recurring,$0.00 per GB - Canada (Central) data transfer from US East (Northern Virginia),Usage,2023-11-01T00:00:00.000+0000,2023-12-01T00:00:00.000+0000,AWS,"Amazon Web Services Canada, Inc.","Amazon Web Services Canada, Inc.",123412340534,0.0,USD,0.0,ca-central-1,Storage,AmazonS3,123412340534,,,,,,,,0.0000192365,GB,,2JE46xxxxxxNSTTW,2JE46CBZYW8NSxxx.xxxxxxxxxx.xxx6EN2CT7,0.0,0.0,0.0000192365,GB
