ChargePeriodStart,ChargePeriodEnd,ChargeFrequency,ChargeDescription,ChargeCategory,BillingPeriodStart,BillingPeriodEnd,Provider,Publisher,InvoiceIssuer,BillingAccountId,BillingAccountName,BilledCost,BillingCurrency,EffectiveCost,RegionId,ServiceCategory,ServiceName,SubAccountName,SubAccountId,AvailabilityZone,ResourceName,ResourceId,CommitmentDiscountName,CommitmentDiscountId,CommitmentDiscountType,CommitmentDiscountCategory,PricingCategory,SkuPriceId,ConsumedQuantity,ConsumedUnit
2023-09-01T00:00:00.000+0000,2023-09-02T00:00:00.000+0000,Usage-Based,Virtual Network Peering - Intra-Region Ingress,Usage,2023-09-01T00:00:00.000+0000,2023-09-30T00:00:00.000+0000,Azure,,Microsoft,12345678,Example LTD.,0.000305367,CAD,0.000305367,CentralUS,Compute,microsoft.compute,sub-example,e18e1552-c6dd-45d1-973c-999999999999,,the name or GUID,/subscriptions/<guid>/resourceGroups/<rg name>/providers/<arm provider>/<serviceName>/<deployedResourceName>,,,,,On-Demand,,0.027265128,GB
2023-09-01T00:00:00.000+0000,2023-09-02T00:00:00.000+0000,Usage-Based,Queues v2 - Class 2 Operations - US Central,Usage,2023-09-01T00:00:00.000+0000,2023-09-30T00:00:00.000+0000,Azure,,Microsoft,12345678,Example LTD.,0.0000564902,CAD,0.0000564902,CentralUS,,Microsoft.Storage,sub-example,d275fcd5-3305-4a03-80c2-999999999999,,the name or GUID,/subscriptions/<guid>/resourceGroups/<rg name>/providers/<arm provider>/<serviceName>/<deployedResourceName>,,,,,On-Demand,,0.0129,Units
2023-09-01T00:00:00.000+0000,2023-09-02T00:00:00.000+0000,Usage-Based,Virtual Machines DSv2 Series - DS4 v2 Spot Hours - US Central,Usage,2023-09-01T00:00:00.000+0000,2023-09-30T00:00:00.000+0000,Azure,,Microsoft,12345678,Example LTD.,0.035351812,CAD,0.035351812,CentralUS,,Microsoft.Compute,sub-example,f908573f-1142-4b3c-999999999999,,the name or GUID,/subscriptions/<guid>/resourceGroups/<rg name>/providers/<arm provider>/<serviceName>/<deployedResourceName>,,,,,Dynamic,,0.433342,Hours
2023-09-01T00:00:00.000+0000,2023-09-02T00:00:00.000+0000,Usage-Based,Virtual Machines Dv2/DSv2 Series - D3 v2/DS3 v2 - US Central,Usage,2023-09-01T00:00:00.000+0000,2023-09-30T00:00:00.000+0000,Azure,,Microsoft,12345678,Example LTD.,0.0,CAD,0.0,CentralUS,,Microsoft.Compute,sub-example,f804d8d5-9284-4b3d-8055-999999999999,,the name or GUID,/subscriptions/<guid>/resourceGroups/<rg name>/providers/<arm provider>/<serviceName>/<deployedResourceName>,,,,,On-Demand,,0.0,Hours
2023-09-01T00:00:00.000+0000,2023-09-02T00:00:00.000+0000,Usage-Based,Azure Data Factory v2 - Cloud - Pipeline Activity,Usage,2023-09-01T00:00:00.000+0000,2023-09-30T00:00:00.000+0000,Azure,,Microsoft,12345678,Example LTD.,0.0,CAD,0.0,westus2,,MICROSOFT.DATAFACTORY,sub-example,372de65c-0928-4d94-b3b1-999999999999,,the name or GUID,/subscriptions/<guid>/resourceGroups/<rg name>/providers/<arm provider>/<serviceName>/<deployedResourceName>,,,,,On-Demand,,0.0,Hours
2023-09-01T00:00:00.000+0000,2023-09-02T00:00:00.000+0000,Usage-Based,Virtual Machines LS Series - L4s Spot Hours - US West 2,Usage,2023-09-01T00:00:00.000+0000,2023-09-30T00:00:00.000+0000,Azure,,Microsoft,12345678,Example LTD.,0.006793634,CAD,0.006793634,westus2,,Microsoft.Compute,sub-example,372de65c-0928-4d94-b3b1-999999999999,,the name or GUID,/subscriptions/<guid>/resourceGroups/<rg name>/providers/<arm provider>/<serviceName>/<deployedResourceName>,,,,,Dynamic,,0.16667,Hours
2023-09-01T00:00:00.000+0000,2023-09-02T00:00:00.000+0000,Usage-Based,Virtual Network Peering - Intra-Region Egress,Usage,2023-09-01T00:00:00.000+0000,2023-09-30T00:00:00.000+0000,Azure,,Microsoft,12345678,Example LTD.,0.0000722904,CAD,0.0000722904,CentralUS,Compute,microsoft.compute,sub-example,3cdde3b6-94ba-4384-8168-999999999999,,the name or GUID,/subscriptions/<guid>/resourceGroups/<rg name>/providers/<arm provider>/<serviceName>/<deployedResourceName>,,,,,On-Demand,,0.006457344,GB
2023-09-01T00:00:00.000+0000,2023-09-02T00:00:00.000+0000,Usage-Based,Virtual Network Private Link - Standard Data Processed - Ingress,Usage,2023-09-01T00:00:00.000+0000,2023-09-30T00:00:00.000+0000,Azure,,Microsoft,12345678,Example LTD.,0.0,CAD,0.0,CentralUS,Compute,microsoft.compute,sub-example,e18e1552-c6dd-45d1-973c-999999999999,,the name or GUID,/subscriptions/<guid>/resourceGroups/<rg name>/providers/<arm provider>/<serviceName>/<deployedResourceName>,,,,,On-Demand,,0.0,GB
2023-09-01T00:00:00.000+0000,2023-09-02T00:00:00.000+0000,Usage-Based,Virtual Network Peering - Intra-Region Ingress,Usage,2023-09-01T00:00:00.000+0000,2023-09-30T00:00:00.000+0000,Azure,,Microsoft,12345678,Example LTD.,1.60101e-7,CAD,1.60101e-7,CentralUS,Compute,microsoft.compute,sub-example,271403aa-09dc-4f66-a989-999999999999,,the name or GUID,/subscriptions/<guid>/resourceGroups/<rg name>/providers/<arm provider>/<serviceName>/<deployedResourceName>,,,,,On-Demand,,0.0000142949,GB
2023-09-01T00:00:00.000+0000,2023-09-02T00:00:00.000+0000,Usage-Based,Tiered Block Blob - All Other Operations - US West,Usage,2023-09-01T00:00:00.000+0000,2023-09-30T00:00:00.000+0000,Azure,,Microsoft,12345678,Example LTD.,0.0000394951,CAD,0.0000394951,WestUS,,Microsoft.Storage,sub-example,6d3dfe10-526b-4a37-9e57-999999999999,,the name or GUID,/subscriptions/<guid>/resourceGroups/<rg name>/providers/<arm provider>/<serviceName>/<deployedResourceName>,,,,,On-Demand,,0.0083,Units
